Assets,Class 1
ABEV3,Stocks
ALPA4,Stocks
BBAS3,Stocks
BBDC3,Stocks
BBDC4,Stocks
BEEF3,Stocks
BRAP4,Stocks
BRFS3,Stocks
BRKM5,Stocks
CCRO3,Stocks
CMIG4,Stocks
CPFE3,Stocks
CPLE6,Stocks
CSAN3,Stocks
CSNA3,Stocks
CYRE3,Stocks
DXCO3,Stocks
EGIE3,Stocks
ELET3,Stocks
ELET6,Stocks
EMBR3,Stocks
ENEV3,Stocks
ENGI11,Stocks
EQTL3,Stocks
EZTC3,Stocks
FLRY3,Stocks
GGBR4,Stocks
GOAU4,Stocks
HYPE3,Stocks
ITSA4,Stocks
ITUB4,Stocks
JBSS3,Stocks
LREN3,Stocks
MRFG3,Stocks
MRVE3,Stocks
MULT3,Stocks
PCAR3,Stocks
PETR3,Stocks
PETR4,Stocks
PRIO3,Stocks
RADL3,Stocks
RENT3,Stocks
SANB11,Stocks
SBSP3,Stocks
SLCE3,Stocks
SMTO3,Stocks
SUZB3,Stocks
TAEE11,Stocks
TIMS3,Stocks
TOTS3,Stocks
TRPL4,Stocks
UGPA3,Stocks
USIM5,Stocks
VALE3,Stocks
VIVT3,Stocks
WEGE3,Stocks
YDUQ3,Stocks
